DATE,TITLE,REVIEW,RATING,USERNAME,HELPFUL_VOTES,REVIEW_LENGTH,PLATFORM,LANGUAGE,LOCATION,VERSION,VERIFIED_PURCHASE,CLEAN_REVIEW,SENTIMENT
2024-05-05,review title 1,"Not satisfied, many bugs and issues.",1,user1,80,6,amazon,zh,kenya,2.1.4,No,satisfied many bug issue,Negative
2024-05-05,review title 2,Amazing quality and user-friendly interface.,5,user2,180,5,flipkart,zh,france,1.2.3,No,amazing quality userfriendly interface,Positive
2024-05-05,review title 3,"Terrible experience, needs major improvements.",2,user3,154,5,flipkart,pt,usa,1.2.3,No,terrible experience need major improvement,Negative
2024-05-05,review title 4,Poor performance and not user-friendly.,1,user4,96,5,amazon,es,qatar,2.1.4,Yes,poor performance userfriendly,Negative
2024-05-05,review title 5,"Not satisfied, many bugs and issues.",2,user5,139,6,website,ar,kenya,2.1.4,No,satisfied many bug issue,Negative
2024-05-05,review title 6,"Waste of time, does not meet expectations.",2,user6,156,7,app store,en,nepal,3.5.6,No,waste time meet expectation,Negative
2024-03-09,review title 7,"Highly satisfied, the app works exactly as expected.",4,user7,186,8,google play,fr,qatar,2.1.4,No,highly satisfied app work exactly expected,Positive
2024-03-08,review title 8,"Highly satisfied, the app works exactly as expected.",4,user8,152,8,amazon,ja,italy,5.0.3,No,highly satisfied app work exactly expected,Positive
2024-06-02,review title 9,"Excellent app, very easy to use and extremely helpful.",4,user9,87,9,amazon,en,germany,5.0.3,No,excellent app easy use extremely helpful,Positive
2024-06-02,review title 10,"Great experience, smooth performance and useful features.",5,user10,27,7,flipkart,en,nepal,3.5.6,Yes,great experience smooth performance useful feature,Positive
2024-06-02,review title 11,Works fine but there is room for improvement.,3,user11,190,8,flipkart,en,france,1.2.3,No,work fine room improvement,Neutral
2024-06-02,review title 12,"Not bad, but updates are needed for better performance.",3,user12,153,9,google play,hi,poland,4.2.1,No,bad update needed better performance,Neutral
2024-06-02,review title 13,"Highly satisfied, the app works exactly as expected.",5,user13,6,8,website,hi,qatar,3.5.6,No,highly satisfied app work exactly expected,Positive
2024-06-02,review title 14,"Highly satisfied, the app works exactly as expected.",4,user14,51,8,flipkart,pt,uk,5.0.3,Yes,highly satisfied app work exactly expected,Positive
2024-06-02,review title 15,Works fine but there is room for improvement.,3,user15,78,8,flipkart,hi,usa,3.5.6,Yes,work fine room improvement,Neutral
2024-06-05,review title 16,"Terrible experience, needs major improvements.",1,user16,89,5,google play,fr,kenya,1.2.3,No,terrible experience need major improvement,Negative
2024-06-05,review title 17,Amazing quality and user-friendly interface.,4,user17,83,5,google play,ja,india,3.5.6,No,amazing quality userfriendly interface,Positive
2024-06-05,review title 18,Poor performance and not user-friendly.,2,user18,156,5,flipkart,hi,qatar,1.2.3,Yes,poor performance userfriendly,Negative
2024-06-05,review title 19,"Excellent app, very easy to use and extremely helpful.",5,user19,33,9,website,pt,usa,5.0.3,No,excellent app easy use extremely helpful,Positive
2025-01-03,review title 20,"Decent app, neither too good nor too bad.",3,user20,55,8,app store,pt,uk,3.5.6,Yes,decent app neither good bad,Neutral
